team_id,Custering1_init,Clustering1_finall,Pass_Yards_Allowed_Per_Game_Rank,Points_Per_Game_Allowed_Rank,Run_Yards_Allowed_Per_Game_Rank,Sacks_Per_Game_Rank,Turnovers_Forced_Per_Game_Rank
ATL_04,4,1,10,16,21,-14,0
ATL_07,2,2,6,-14,-17,8,4
ATL_08,2,2,2,18,1,-12,-11
ATL_15,4,3,14,13,7,5,-10
BUF_01,4,1,-9,-11,-20,-4,-14
BUF_09,1,1,11,-2,-8,-2,15
CAR_02,1,3,24,23,23,4,0
CAR_11,1,1,-13,-1,-2,-30,-6
CHI_04,3,2,-2,9,-9,-10,12
CIN_03,1,3,-11,4,-3,-15,8
DAL_03,1,3,18,11,12,16,-9
DAL_07,4,4,11,7,4,-3,-7
DET_06,1,1,-12,-9,3,8,-3
DET_09,1,1,-5,0,7,1,2
IND_02,3,1,25,24,5,-2,5
MIA_06,1,1,15,10,9,-5,-11
MIN_15,1,3,-5,6,8,-14,6
NYJ_02,2,2,-14,-2,10,-7,-25
NYJ_16,4,4,-4,-19,-9,1,-25
OAK_16,1,1,2,2,-10,4,10
PIT_08,4,4,2,1,1,-4,13
SEA_10,1,1,3,0,-6,10,-1
SEA_11,1,1,16,18,6,-9,20
SF_11,4,4,8,14,5,-24,24
STL_13,1,1,-4,1,6,16,13
TB_12,1,3,-11,9,31,-4,5
TB_14,2,1,-11,-4,-4,12,-11
