team_id,clustering1_byPassAtt_init,clustering1_byPassAtt_final,clustering2_byPassComp_init,clustering2_byPassComp_final,clustering3_noPass_init,clustering3_noPass_final,Pass_Yards_Per_Game_Rank,Points_Per_Game_Rank,Run_Yards_Per_Game_Rank,Sacks_Allowed_Per_Game_Rank,Turnovers_Per_Game_Rank
ARI_07,3,3,2,2,2,2,5,12,1,9,-7
ARI_13,2,3,3,2,3,2,15,15,9,17,2
BUF_13,2,2,2,3,2,3,-3,-1,4,-19,9
CLE_11,1,1,2,3,2,2,5,1,-8,-1,13
CLE_13,1,2,3,3,3,3,8,-3,-3,-13,-5
DEN_09,2,2,3,2,3,2,-10,-4,-6,-16,17
DET_03,1,1,1,1,1,1,1,0,-3,0,6
GB_06,1,2,1,3,1,3,-1,0,7,1,6
MIA_09,1,3,2,2,4,2,-10,6,7,-8,-18
MIN_00,2,3,2,2,2,2,19,12,3,-6,4
MIN_02,3,3,2,2,2,2,-2,16,24,-3,-1
MIN_07,1,4,1,4,1,4,-10,11,15,4,4
NYG_05,1,1,1,1,1,1,15,19,5,22,-2
NYJ_00,2,1,3,1,3,1,11,9,5,0,-5
OAK_03,1,3,1,1,1,1,-26,-24,2,-12,-7
OAK_05,1,2,1,1,1,1,-2,-5,3,-19,19
OAK_07,1,4,1,4,1,4,0,9,23,10,3
OAK_08,4,4,4,4,4,4,-1,-6,-4,-2,17
OAK_10,1,1,2,2,2,4,6,25,19,3,12
OAK_12,1,3,2,3,2,3,3,-10,-21,-1,8
PHI_14,2,2,3,3,3,3,3,1,-8,10,-28
PIT_00,2,4,3,4,3,4,-5,-1,7,-7,11
SD_14,4,2,2,3,4,3,-6,-5,-17,-12,-3
SEA_04,3,3,1,1,1,1,-6,-5,2,17,3
STL_07,3,3,2,2,2,2,-15,-18,-8,2,-26
TEN_14,2,2,2,3,2,3,-1,-11,-12,-17,-6
TEN_16,2,2,3,3,3,3,0,14,22,23,20
WAS_04,1,4,1,1,1,1,-8,-9,1,10,-1
WAS_08,1,1,1,1,1,4,-9,-10,4,-10,9
WAS_10,1,1,1,3,2,1,8,1,-3,1,-5
WAS_14,2,2,3,3,3,3,5,-3,-14,-12,1
